	Chlorophyll-a	Chlorophyll-b	DV chlorophyll-a	Chlorophyllide-a	Phaeophorbide-a	Phaeophytin-a	Chlorophyll C3	chlorophyll c2
606.5	0.003146094	0.002289791	0.002838489	0.005206867	0.003296924	0.002397506	0.002891901	0.002891901
605.6	0.003008205	0.002299651	0.002707081	0.005079393	0.003257889	0.002370382	0.002991441	0.002991441
604.7	0.002934967	0.002359577	0.002603407	0.004950613	0.003195823	0.002319908	0.003155392	0.003155392
603.9	0.002799832	0.002416478	0.002490339	0.004761872	0.003111288	0.002277277	0.003299792	0.003299792
603.0	0.002714111	0.002443042	0.002424087	0.004626132	0.003035963	0.002197416	0.003524228	0.003524228
602.2	0.002593998	0.002508684	0.002281315	0.004495089	0.002932784	0.002138322	0.003710889	0.003710889
601.3	0.00251278	0.002582178	0.002246424	0.004347257	0.002810857	0.002047002	0.003976557	0.003976557
600.5	0.002368124	0.0026159	0.002122265	0.004149142	0.002671169	0.001959996	0.004168046	0.004168046
599.6	0.00230077	0.002630411	0.002069738	0.004030829	0.00253658	0.001872226	0.004433889	0.004433889
598.8	0.002154927	0.002621084	0.001945937	0.003871516	0.002378271	0.001756388	0.004729144	0.004729144
597.9	0.002145536	0.002672207	0.001907981	0.003741755	0.002243694	0.001665202	0.005007484	0.005007484
597.1	0.002034888	0.0026745	0.00180107	0.003604129	0.002101045	0.001555385	0.005327012	0.005327012
596.2	0.00199613	0.002680576	0.001784462	0.003462016	0.001963472	0.001453984	0.005658861	0.005658861
595.4	0.001903224	0.002658724	0.001710976	0.003353191	0.001827634	0.001369691	0.005942798	0.005942798
594.5	0.001866927	0.002616902	0.00170459	0.003227618	0.001721527	0.001292578	0.006350243	0.006350243
593.7	0.001872686	0.002659107	0.00164633	0.003190765	0.001619356	0.001213461	0.006635484	0.006635484
