	Chlorophyll-a	Chlorophyll-b	DV chlorophyll-a	Chlorophyllide-a	Phaeophorbide-a	Phaeophytin-a	Chlorophyll C3	chlorophyll c2
592.8	0.001840411	0.002604025	0.001679877	0.003165899	0.0015142	0.001132611	0.007009975	0.007009975
591.9	0.001840198	0.002572451	0.00163648	0.00308515	0.001408298	0.001086273	0.007328014	0.007328014
591.1	0.001867247	0.002539028	0.0016429	0.003022961	0.00133606	0.001017959	0.007635725	0.007635725
590.2	0.001855855	0.002500238	0.001594394	0.003028137	0.001261521	0.000961899	0.007923496	0.007923496
589.4	0.001929694	0.002440707	0.001619837	0.002990446	0.001184996	0.00091087	0.008226306	0.008226306
588.5	0.001927341	0.00244745	0.001614331	0.002999544	0.001148787	0.000870844	0.008474513	0.008474513
587.7	0.001958215	0.002318948	0.001599544	0.00300138	0.001109524	0.000836222	0.00867862	0.00867862
586.8	0.001981374	0.002270232	0.001624493	0.00299042	0.001071172	0.00082836	0.008815341	0.008815341
586.0	0.002024507	0.002214972	0.001656906	0.003048409	0.001023947	0.000796768	0.008949123	0.008949123
585.1	0.002047136	0.002196756	0.001583021	0.003008046	0.001005757	0.000776505	0.008956324	0.008956324
584.3	0.002106247	0.002109504	0.001602426	0.003062894	0.000975783	0.000754204	0.009015821	0.009015821
583.4	0.002079777	0.002056687	0.001536942	0.003019627	0.000946842	0.000736358	0.009031408	0.009031408
582.6	0.00213313	0.001986953	0.001537248	0.003080204	0.0009538	0.000738353	0.008995784	0.008995784
581.7	0.002095135	0.001960243	0.001522126	0.003045469	0.000955153	0.000731069	0.008846056	0.008846056
580.9	0.002133159	0.001925617	0.001494201	0.003039812	0.000950584	0.000712403	0.008754903	0.008754903
580.0	0.002066247	0.001883433	0.001441161	0.003071444	0.000950897	0.000717702	0.008544374	0.008544374
579.1	0.00209079	0.001846272	0.001471205	0.003079678	0.000928728	0.000729199	0.008326268	0.008326268
578.3	0.002053648	0.00184357	0.001388695	0.002992592	0.000937121	0.000702037	0.008065394	0.008065394
577.4	0.002030979	0.001797587	0.001417287	0.002994548	0.000941483	0.000734148	0.007841181	0.007841181
576.6	0.001978205	0.001777732	0.001354282	0.002972465	0.000945355	0.000720783	0.007650366	0.007650366
575.7	0.001998303	0.001732928	0.001377934	0.002944813	0.000946191	0.000719957	0.007377011	0.007377011
574.9	0.001937812	0.001739676	0.001309674	0.003009447	0.00096545	0.000738346	0.007015154	0.007015154
574.0	0.001912074	0.001697204	0.001308367	0.002933342	0.000976878	0.000753867	0.006672249	0.006672249
573.2	0.001835906	0.001684771	0.001228394	0.00285752	0.000983874	0.000757897	0.006358276	0.006358276
572.3	0.001832552	0.001692904	0.001240184	0.002849313	0.001018176	0.000771985	0.006065048	0.006065048
571.5	0.001770026	0.001723854	0.001188769	0.002768004	0.001024203	0.000779194	0.005766148	0.005766148
570.6	0.001731209	0.001684099	0.001200966	0.002796157	0.001059596	0.000803074	0.005451642	0.005451642
569.8	0.001635246	0.001696	0.00109769	0.00272279	0.001082955	0.000818082	0.005152353	0.005152353
568.9	0.001638329	0.001674923	0.001141948	0.002766161	0.001135326	0.00082952	0.004883842	0.004883842
568.1	0.001540357	0.001636227	0.001047629	0.002683619	0.001139137	0.000855719	0.004671979	0.004671979
567.2	0.001497145	0.001613593	0.001056946	0.002642148	0.001165388	0.000878353	0.004407943	0.004407943
566.3	0.001437526	0.001642832	0.001023792	0.002632479	0.001194068	0.000890821	0.004154168	0.004154168
565.5	0.001382516	0.00160792	0.001002596	0.002662885	0.001231654	0.000931209	0.003945472	0.003945472
564.6	0.00127416	0.001609792	0.000966439	0.002595598	0.001256438	0.000953064	0.003732616	0.003732616
563.8	0.001282372	0.001582104	0.00098185	0.002568531	0.00127883	0.000963989	0.003523787	0.003523787
562.9	0.001163194	0.001560567	0.000885659	0.002510665	0.001294716	0.000980135	0.003323021	0.003323021
562.1	0.001169272	0.00154064	0.000894694	0.002473451	0.001320258	0.001002544	0.003138594	0.003138594
561.2	0.001092301	0.001525581	0.00084467	0.002414107	0.00132671	0.001010997	0.002965066	0.002965066
560.4	0.001074112	0.001506975	0.000869443	0.00237946	0.001358132	0.001043471	0.002868995	0.002868995
